,start_verse_num,end_verse_num,start_verse,end_verse,avg_embedding
 -0.03155549 -0.03153822 -0.03154815 -0.03154615 -0.03155046 -0.03157554
 -0.03154318 -0.03153599 -0.03152746 -0.03154315 -0.03156109 -0.0315211
 -0.03158227 -0.03155779 -0.03156817 -0.03153571 -0.03152584 -0.03153887
 -0.03154663 -0.03155644 -0.03156817 -0.03153452 -0.03156879 -0.03154612
 -0.03154138 -0.03153076 -0.03154139 -0.03153606 -0.03154283 -0.03153149
 -0.03152792 -0.03153977 -0.03151868 -0.03154182 -0.03155602 -0.03156433
 -0.03154122 -0.03158422 -0.03153886 -0.03156948 -0.03157677 -0.0315688
 -0.03154947 -0.03156357 -0.03154669 -0.03153554 -0.03152682 -0.03157319
 -0.03153754 -0.03153978 -0.03156438 -0.03151958 -0.03155767 -0.03157163
 -0.03153444 -0.03153714 -0.03156007 -0.03154856 -0.03155237 -0.03153681
 -0.03154056 -0.03153934 -0.03152808 -0.03156735 -0.03156411 -0.03156019
 -0.03153563 -0.03154299 -0.03154434 -0.03156702 -0.0315587  -0.03158126
 -0.03156178 -0.03153989 -0.03155254 -0.03154443 -0.03156396 -0.0315465
 -0.03156061 -0.03155613 -0.03155243 -0.03155517 -0.03154302 -0.03156256
 -0.03158381 -0.03158772 -0.03155115 -0.03157562 -0.03152688 -0.03157926
 -0.03152988 -0.0315581  -0.03153197 -0.03155972 -0.03157476 -0.03156741
 -0.0315527  -0.03153636 -0.03153693 -0.03157355 -0.0315726  -0.03152725
 -0.03154843 -0.03157251 -0.0315863  -0.03160889 -0.03156397 -0.03156396
 -0.03157234 -0.03155947 -0.03155815 -0.03156632 -0.03156289 -0.03156445
 -0.03154651 -0.03156475 -0.0315753  -0.0315735  -0.0315644  -0.03156377
 -0.03158403 -0.03156701 -0.03157749 -0.03158937 -0.03159549 -0.03156424
 -0.03155221 -0.03155349 -0.03156297 -0.03158854 -0.03156249 -0.03155158
 -0.03161533 -0.03156957 -0.0315446  -0.03154669 -0.03157018 -0.03153839
 -0.03156312 -0.03158665 -0.03159798 -0.03153909 -0.03156739 -0.03153402
 -0.03156087 -0.03158119 -0.03155949 -0.03155315 -0.03158932 -0.03157561
 -0.03153721 -0.03157814 -0.03153125 -0.0315129  -0.0315644  -0.03154419
 -0.03153864 -0.03155573 -0.031563   -0.031569   -0.03159787 -0.03159074
 -0.03157526 -0.03152945 -0.03154392 -0.03158447 -0.03158205 -0.03153518
 -0.031551   -0.0315632  -0.03153218 -0.03153696 -0.03154421 -0.03153298]"
49,1760,1761,Mosiah 3 12,Mosiah 3.13,[-0.03153298 -0.03157251]
50,1761,1762,Mosiah 3 13,Mosiah 3.14,[-0.03157251 -0.03154793]
51,1762,1797,Mosiah 3 14,Mosiah 4.22,"[-0.03154793 -0.03154921 -0.03155136 -0.03156472 -0.03155413 -0.03153971
 -0.03154892 -0.0315224  -0.03153975 -0.03153967 -0.03153213 -0.03156175
 -0.03155492 -0.03152172 -0.031572   -0.03155785 -0.03155685 -0.03155263
 -0.0315639  -0.03156452 -0.03156419 -0.03154825 -0.0316016  -0.03156076
 -0.03155722 -0.03154928 -0.03157315 -0.03155218 -0.03153866 -0.03157054
 -0.03155174 -0.03155391 -0.03157293 -0.03152884 -0.03160172 -0.03159917]"
52,1797,1798,Mosiah 4 22,Mosiah 4.23,[-0.03159917 -0.03159537]
53,1798,1866,Mosiah 4 23,Mosiah 8.6,"[-0.03159537 -0.03157733 -0.03153579 -0.03156492 -0.03159782 -0.03157457
 -0.03148688 -0.03159105 -0.03158015 -0.03154498 -0.03155863 -0.03155037
 -0.03156279 -0.03156691 -0.03153551 -0.03155365 -0.03155979 -0.03155506
 -0.0315743  -0.03155926 -0.03158135 -0.03155306 -0.03156591 -0.03160559
 -0.0315333  -0.03158463 -0.03155706 -0.03157635 -0.03153764 -0.03156999
 -0.03157307 -0.03154506 -0.03153507 -0.03158704 -0.03155506 -0.03156564
 -0.03154377 -0.0315786  -0.03155676 -0.03156431 -0.03158133 -0.03157228
 -0.03156194 -0.03156399 -0.03155628 -0.03157204 -0.03155752 -0.0315755
 -0.03157605 -0.03152044 -0.03154939 -0.03155349 -0.0315753  -0.03154533
 -0.03154003 -0.03152065 -0.03153511 -0.03156401 -0.03153883 -0.03157143
 -0.03155524 -0.03151236 -0.03155042 -0.03155853 -0.03158603 -0.03154625
 -0.03155116 -0.03158175 -0.03156469]"
54,1866,1867,Mosiah 8 6,Mosiah 8.7,[-0.03156469 -0.03141065]
55,1867,2027,Mosiah 8 7,Mosiah 14.4,"[-0.03141065 -0.03154606 -0.0315556  -0.03155328 -0.03153    -0.03159149
 -0.03153313 -0.03154752 -0.03154264 -0.03153116 -0.03156913 -0.03153815
 -0.03159478 -0.0315939  -0.03156649 -0.03154731 -0.03153705 -0.03155296
 -0.03154291 -0.03152502 -0.03153203 -0.03153377 -0.0315036  -0.03146939
 -0.03155313 -0.03154086 -0.03155498 -0.03154388 -0.03159524 -0.03152993
 -0.03153753 -0.03151406 -0.03154092 -0.03155961 -0.03153828 -0.03155269
 -0.03151536 -0.03156699 -0.03153964 -0.03157325 -0.03155397 -0.03155408
 -0.03156127 -0.03156747 -0.03154397 -0.03152786 -0.03155653 -0.03151243
 -0.0315858  -0.03157328 -0.0315773  -0.03155181 -0.03157356 -0.03155223
 -0.03157422 -0.0315691  -0.03153349 -0.03155457 -0.03158402 -0.03155525
 -0.03155291 -0.03150051 -0.03149826 -0.03156736 -0.0315593  -0.03155285
 -0.03156966 -0.03153275 -0.03154877 -0.03154623 -0.03157165 -0.03155713
 -0.03156146 -0.03155876 -0.03155525 -0.03155988 -0.03151007 -0.03152643
 -0.03152183 -0.03149116 -0.03154475 -0.03156123 -0.03157249 -0.03156343
 -0.03155372 -0.03158088 -0.03155732 -0.03153002 -0.03153407 -0.03148886
 -0.03152812 -0.0315487  -0.03155692 -0.03158419 -0.0315161  -0.03154222
 -0.03155037 -0.03152045 -0.03153248 -0.03154743 -0.03157529 -0.03155775
 -0.03154291 -0.03157313 -0.03157981 -0.03155219 -0.03152808 -0.03151633
 -0.03154877 -0.03154941 -0.03155399 -0.03153954 -0.03152876 -0.03159609
 -0.03152687 -0.03153359 -0.03150052 -0.03157999 -0.03153741 -0.0315138
 -0.03157066 -0.03158246 -0.0315483  -0.03153508 -0.03154017 -0.03154373
 -0.03151962 -0.03152492 -0.03151268 -0.03150907 -0.03155884 -0.03154609
 -0.03157246 -0.0315798  -0.03154938 -0.03154483 -0.03153147 -0.03154796
 -0.03157831 -0.03153091 -0.03155104 -0.03154422 -0.03153995 -0.03155107
 -0.03154163 -0.03158151 -0.03161368 -0.03148264 -0.03157839 -0.03157564
 -0.03157596 -0.03155183 -0.03154211 -0.03150987 -0.03155303 -0.03157246
 -0.0315537  -0.03148317 -0.03155987 -0.03153455 -0.03152513]"
56,2027,2112,Mosiah 14 4,Mosiah 18.11,"[-0.03152513 -0.03153626 -0.03151574 -0.03153258 -0.03152207 -0.03153301
 -0.03151634 -0.03153707 -0.03153925 -0.03156312 -0.0315379  -0.03152288
 -0.03154336 -0.03155282 -0.03153425 -0.03150424 -0.03151001 -0.03158019
 -0.0315359  -0.03155859 -0.03154318 -0.03153706 -0.03157567 -0.03154929
 -0.03156178 -0.03154821 -0.0315536  -0.03154451 -0.031532   -0.03152751
 -0.03155446 -0.03152448 -0.03156299 -0.03151395 -0.03156855 -0.03153151
 -0.03154931 -0.03149379 -0.031517   -0.0315312  -0.03158308 -0.03154539
 -0.03155305 -0.03152864 -0.03153462 -0.03155302 -0.03153618 -0.03151752
 -0.03152747 -0.03152921 -0.03157737 -0.03156482 -0.0315419  -0.03151326
 -0.03154484 -0.03154182 -0.03157134 -0.0315339  -0.03153823 -0.0315432
 -0.0315436  -0.03154914 -0.03152234 -0.03158025 -0.03148894 -0.03152737
 -0.03155832 -0.03155006 -0.03154847 -0.0315693  -0.03151814 -0.03148415
 -0.03152388 -0.03156572 -0.03151791 -0.03157068 -0.03149859 -0.03154574
 -0.03154106 -0.03153399 -0.03156384 -0.03150952 -0.0315502  -0.03150795
 -0.03160817 -0.03153196]"
57,2112,2121,Mosiah 18 11,Mosiah 18.20,"[-0.03153196 -0.0314645  -0.03150591 -0.03156963 -0.03155664 -0.03153162
 -0.03153793 -0.03157165 -0.03153387 -0.03151075]"
58,2121,2138,Mosiah 18 20,Mosiah 19.2,"[-0.03151075 -0.03155334 -0.03158698 -0.03155604 -0.03154806 -0.03154628
 -0.03154658 -0.03157532 -0.03151466 -0.0315447  -0.03155421 -0.03153957
 -0.03154204 -0.03155209 -0.03154588 -0.03154562 -0.03154675 -0.03153842]"
59,2138,2139,Mosiah 19 2,Mosiah 19.3,[-0.03153842 -0.03155169]
60,2139,2194,Mosiah 19 3,Mosiah 21.3,"[-0.03155169 -0.03153907 -0.03153959 -0.03151978 -0.03154017 -0.03156159
 -0.03155002 -0.03156686 -0.03154029 -0.03155642 -0.03154192 -0.03157543
 -0.03155581 -0.03155831 -0.03157473 -0.03151637 -0.03157212 -0.03149717
 -0.03153827 -0.0315574  -0.03153196 -0.03155917 -0.03154998 -0.03153752
 -0.03155696 -0.03154984 -0.03155452 -0.03157238 -0.0315624  -0.03150269
 -0.03157039 -0.03153752 -0.03158243 -0.03151303 -0.03156895 -0.03152269
 -0.03154716 -0.03152864 -0.03154143 -0.03156272 -0.03155724 -0.0315588
 -0.03155216 -0.03153243 -0.03153921 -0.03157588 -0.0315253  -0.03156284
 -0.03156667 -0.03155807 -0.0315377  -0.03155835 -0.03156594 -0.03152936
 -0.03154136 -0.03154453]"
61,2194,2212,Mosiah 21 3,Mosiah 21.21,"[-0.03154453 -0.03149354 -0.03156727 -0.03154714 -0.03157249 -0.03151368
 -0.03155831 -0.0315722  -0.03155974 -0.03149955 -0.03155491 -0.03152499
 -0.0315729  -0.03155127 -0.03154754 -0.03157208 -0.0315735  -0.03154454
 -0.0315246 ]"
62,2212,2213,Mosiah 21 21,Mosiah 21.22,[-0.0315246  -0.03148502]
63,2213,2323,Mosiah 21 22,Mosiah 25.16,"[-0.03148502 -0.03156363 -0.0315612  -0.03155291 -0.03154953 -0.03157538
 -0.03153729 -0.03155387 -0.03154897 -0.03151053 -0.03156477 -0.03155576
 -0.03153581 -0.03157383 -0.03158389 -0.0315379  -0.03156326 -0.03156411
 -0.03158904 -0.03155672 -0.03157686 -0.03156077 -0.03156145 -0.03154054
 -0.03156607 -0.03154451 -0.03156818 -0.03157924 -0.03154266 -0.03158699
 -0.03158073 -0.03156599 -0.03152194 -0.03156008 -0.03153914 -0.03154817
 -0.03153821 -0.03155947 -0.03157182 -0.03154861 -0.03156913 -0.03157509
 -0.031545   -0.03153366 -0.03156002 -0.03153582 -0.03155375 -0.03155165
 -0.03153746 -0.03151027 -0.03154306 -0.03153368 -0.03154534 -0.03153115
 -0.031531   -0.03154087 -0.0315498  -0.03153189 -0.03155874 -0.03153674
 -0.03153891 -0.03153827 -0.03157081 -0.03156705 -0.03157383 -0.03154152
 -0.03158257 -0.03151759 -0.03154245 -0.03156971 -0.03155683 -0.03156731
 -0.03156469 -0.03153434 -0.03155171 -0.03157928 -0.03152078 -0.03153189
 -0.0315542  -0.03157041 -0.031573   -0.03152675 -0.03156126 -0.03154029
 -0.03153587 -0.03153975 -0.03152811 -0.03151177 -0.03146229 -0.03155777
 -0.03151883 -0.03149919 -0.03154431 -0.03157268 -0.03156298 -0.03155669
 -0.03156932 -0.03155459 -0.03153703 -0.03153455 -0.03157676 -0.03156378
 -0.03153544 -0.03156128 -0.03156172 -0.0315588  -0.03156221 -0.03154503
 -0.03157223 -0.03151977 -0.03158744]"
64,2323,2324,Mosiah 25 16,Mosiah 25.17,[-0.03158744 -0.03148821]
65,2324,2485,Mosiah 25 17,Alma 1.11,"[-0.03148821 -0.03154778 -0.03153578 -0.03154396 -0.03152542 -0.0315366
 -0.03153989 -0.03152978 -0.03155799 -0.03152465 -0.03152494 -0.03152037
 -0.03153596 -0.03156461 -0.03151673 -0.03156697 -0.03154934 -0.03154909
 -0.03158534 -0.03153595 -0.03152311 -0.03156431 -0.03157301 -0.03153404
 -0.03151525 -0.03151242 -0.03151246 -0.03155187 -0.03152824 -0.03153404
 -0.03157304 -0.03152349 -0.03154911 -0.03151854 -0.03155402 -0.03154037
 -0.03156662 -0.03150143 -0.03157436 -0.03155947 -0.03154151 -0.0315427
 -0.031553   -0.0315258  -0.03154819 -0.03153796 -0.03155598 -0.03156355
 -0.03155638 -0.03156362 -0.03155908 -0.03151621 -0.03155951 -0.03154353
 -0.03155385 -0.03154386 -0.03151439 -0.03156084 -0.0315357  -0.03153359
 -0.03156033 -0.03154586 -0.0315525  -0.03153754 -0.03153725 -0.03153094
 -0.03155648 -0.03153101 -0.03154352 -0.03156396 -0.03153395 -0.03154923
 -0.03154774 -0.03155136 -0.03158895 -0.03154644 -0.03154903 -0.0315259
 -0.03155478 -0.03156246 -0.03156091 -0.03156429 -0.03148977 -0.03157312
 -0.0315384  -0.03155495 -0.03155348 -0.03156041 -0.03152865 -0.03153935
 -0.03153921 -0.03155655 -0.03160007 -0.03156497 -0.03157535 -0.03155453
 -0.03155792 -0.03156076 -0.03158056 -0.03155872 -0.03155679 -0.03156154
 -0.03155423 -0.03155511 -0.03160875 -0.03154848 -0.03155891 -0.03152144
 -0.03155769 -0.03155815 -0.03156116 -0.03158428 -0.03153916 -0.03155634
 -0.03153595 -0.03155079 -0.03155066 -0.03160198 -0.03157963 -0.03153616
 -0.03154301 -0.03156277 -0.03155133 -0.03154201 -0.03159404 -0.03155512
 -0.03152157 -0.03156669 -0.03155662 -0.03152921 -0.03152514 -0.03154553
 -0.031547   -0.03153781 -0.03157356 -0.03157617 -0.03154254 -0.03156765
 -0.03158093 -0.03154216 -0.03155164 -0.03152082 -0.03156224 -0.03155006
 -0.0315603  -0.03157786 -0.0315599  -0.03153776 -0.03156036 -0.0315656
 -0.03154719 -0.0315634  -0.03157343 -0.03153678 -0.03157334 -0.03155726
 -0.03155797 -0.03157345 -0.03156897 -0.03152912 -0.03153595 -0.03154966]"
66,2485,2609,Alma 1 11,Alma 5.17,"[-0.03154966 -0.03151837 -0.03153762 -0.03150841 -0.03155032 -0.03154028
 -0.03155511 -0.03150942 -0.03153551 -0.0315065  -0.03156452 -0.03155403
 -0.03153809 -0.03154755 -0.03155728 -0.03156671 -0.03158063 -0.03154553
 -0.03156946 -0.03156537 -0.0315601  -0.03156033 -0.031513   -0.03152422
 -0.0315656  -0.03157756 -0.03153962 -0.03155279 -0.03153445 -0.03155208
 -0.03155525 -0.03156404 -0.03156378 -0.03156409 -0.03153941 -0.03154615
 -0.03154222 -0.0315364  -0.03157589 -0.03153236 -0.03150863 -0.03154225
 -0.03156707 -0.03153381 -0.03150182 -0.03158705 -0.03156337 -0.03155381
 -0.03154756 -0.03155506 -0.03154482 -0.03155561 -0.03154991 -0.03154782
 -0.03153316 -0.03153003 -0.03155884 -0.0315513  -0.03152878 -0.03153294
 -0.0315585  -0.03156017 -0.03156946 -0.03154595 -0.03155011 -0.03155471
 -0.03156917 -0.03150489 -0.03155258 -0.03154699 -0.03154596 -0.03152421
 -0.03158348 -0.03159731 -0.03156377 -0.03153449 -0.03153651 -0.03154005
 -0.03156774 -0.03159358 -0.03154813 -0.03157966 -0.03154464 -0.03155635
 -0.0315571  -0.03152972 -0.03157418 -0.03156653 -0.03159806 -0.03154986
 -0.031567   -0.03150811 -0.03155766 -0.0315896  -0.03155833 -0.03155334
 -0.03149623 -0.03156331 -0.0315771  -0.03157136 -0.03156778 -0.03155515
 -0.03155404 -0.03156405 -0.03147065 -0.03152976 -0.0315624  -0.03154923
 -0.03154106 -0.03160025 -0.03155625 -0.03152543 -0.03153044 -0.03156633
 -0.03155518 -0.03157374 -0.03158072 -0.03161416 -0.03155331 -0.03152578
 -0.03156801 -0.03158478 -0.03157811 -0.03159918 -0.03154953]"
67,2609,2610,Alma 5 17,Alma 5.18,[-0.03154953 -0.0315384 ]
68,2610,2622,Alma 5 18,Alma 5.30,"[-0.0315384  -0.03157045 -0.03155893 -0.03157328 -0.03158295 -0.03153033
 -0.03155714 -0.03152083 -0.03159167 -0.03157439 -0.03155696 -0.03156907
 -0.03161453]"
69,2622,2623,Alma 5 30,Alma 5.31,[-0.03161453 -0.03156871]
70,2623,2715,Alma 5 31,Alma 8.26,"[-0.03156871 -0.03146127 -0.03158897 -0.03149861 -0.0314726  -0.03154585
 -0.03156355 -0.03153455 -0.03155748 -0.03155063 -0.03154796 -0.03155538
 -0.03155525 -0.03153201 -0.0315572  -0.03154254 -0.03155557 -0.03156941
 -0.0315771  -0.03153539 -0.0315284  -0.03156076 -0.03160291 -0.0315087
 -0.03152717 -0.03157394 -0.0315505  -0.03156424 -0.03159863 -0.03156125
 -0.03154715 -0.03156132 -0.03154801 -0.03152129 -0.03157011 -0.03156127
 -0.0315403  -0.03154883 -0.03155241 -0.0315562  -0.03156761 -0.03155247
 -0.03156737 -0.03155053 -0.03156783 -0.03157134 -0.031545   -0.03156023
 -0.03155295 -0.03154186 -0.03151789 -0.03154345 -0.03154938 -0.03154971
 -0.03154052 -0.03155345 -0.0315522  -0.03150814 -0.03151003 -0.03157248
 -0.0315459  -0.03155686 -0.0315627  -0.0315219  -0.03154177 -0.03156723
 -0.03158776 -0.03156511 -0.03156135 -0.03156125 -0.03153122 -0.03151222
 -0.03154157 -0.03155821 -0.03155667 -0.0315286  -0.03154071 -0.031545
 -0.03151947 -0.03155335 -0.03158411 -0.03155432 -0.03152924 -0.03153328
 -0.03156709 -0.03158188 -0.03155094 -0.03153493 -0.03152794 -0.03154211
 -0.03153218 -0.03149771 -0.03153577]"
71,2715,2865,Alma 8 26,Alma 12.32,"[-0.03153577 -0.0315377  -0.03152866 -0.03152386 -0.03152845 -0.03158445
 -0.03153343 -0.03154189 -0.03155733 -0.03152204 -0.03149413 -0.03154339
 -0.0315724  -0.03152687 -0.03152894 -0.03154893 -0.03160356 -0.0315735
 -0.03155389 -0.03155792 -0.03158077 -0.03158272 -0.03157039 -0.03152035
 -0.03156836 -0.03154911 -0.03158008 -0.03157572 -0.03154972 -0.03157111
 -0.03155119 -0.03154508 -0.03158067 -0.03152613 -0.03157429 -0.03152103
 -0.03154976 -0.03156229 -0.0315411  -0.03154466 -0.03155253 -0.03155307
 -0.03154631 -0.03153368 -0.03153229 -0.03156563 -0.03154244 -0.03153541
 -0.03154971 -0.03153424 -0.03155704 -0.03151296 -0.03155556 -0.03157818
 -0.03156088 -0.03160034 -0.03157291 -0.03157427 -0.03151503 -0.03156959
 -0.03156717 -0.03153773 -0.03157157 -0.03154151 -0.03157605 -0.03155821
 -0.03153882 -0.03154372 -0.03157889 -0.03154163 -0.03158732 -0.03158589
 -0.03157908 -0.03159899 -0.03157231 -0.03155307 -0.03155324 -0.03155116
 -0.03156053 -0.03155726 -0.03157017 -0.03157236 -0.03154814 -0.03154657
 -0.03156376 -0.03156037 -0.03157247 -0.03153932 -0.03155962 -0.03149683
 -0.03157817 -0.03156515 -0.03150529 -0.03156524 -0.0315759  -0.03156962
 -0.03154846 -0.03154067 -0.03153863 -0.03157065 -0.03157481 -0.03158741
 -0.03153568 -0.03157012 -0.0315674  -0.03154287 -0.03155674 -0.0315198
 -0.03153303 -0.03156981 -0.03152555 -0.03154791 -0.03153623 -0.03155552
 -0.03154087 -0.03155892 -0.03156672 -0.03155116 -0.03154341 -0.03157701
 -0.03155649 -0.03155268 -0.03153493 -0.03156145 -0.0315463  -0.03152555
 -0.03150292 -0.03157996 -0.03156236 -0.03155253 -0.031527   -0.03152107
 -0.03154699 -0.03154947 -0.0315593  -0.03156715 -0.03153863 -0.03154628
 -0.03155815 -0.03157085 -0.03153657 -0.03153229 -0.03155331 -0.03154994
 -0.03156708 -0.03153871 -0.03157003 -0.0315387  -0.03153669 -0.03153548
 -0.03156167]"
72,2865,2903,Alma 12 32,Alma 14.2,"[-0.03156167 -0.03157664 -0.03157181 -0.03155552 -0.03155632 -0.0315579
 -0.03155627 -0.03155895 -0.03154803 -0.03155942 -0.0315425  -0.03150785
 -0.03156522 -0.03153883 -0.03155262 -0.03156619 -0.03153366 -0.03157663
 -0.03158367 -0.03155111 -0.03158052 -0.03155356 -0.03154705 -0.03156541
 -0.03160626 -0.03154645 -0.03155466 -0.03151039 -0.03154425 -0.0315162
 -0.03156548 -0.03156955 -0.03155448 -0.03154721 -0.03157389 -0.0315211
 -0.03152586 -0.03152273 -0.03156239]"
73,2903,2904,Alma 14 2,Alma 14.3,[-0.03156239 -0.03151722]
74,2904,3036,Alma 14 3,Alma 18.27,"[-0.03151722 -0.03154448 -0.03155332 -0.03158987 -0.03154914 -0.03154282
 -0.03153286 -0.0315486  -0.03155388 -0.03153108 -0.03156503 -0.03157882
 -0.03156615 -0.03154634 -0.03155068 -0.03156154 -0.03156498 -0.03154596
 -0.03154464 -0.03153587 -0.03158176 -0.03157921 -0.03152647 -0.03156524
 -0.03153735 -0.03155262 -0.03155922 -0.03155782 -0.03153426 -0.03156224
 -0.03154461 -0.03157239 -0.03155073 -0.03151091 -0.03151543 -0.03154031
 -0.03153771 -0.03153578 -0.03154125 -0.0315397  -0.03153137 -0.03155932
 -0.03155776 -0.03152074 -0.03153319 -0.03156782 -0.03158443 -0.03150976
 -0.03155012 -0.03156591 -0.03153879 -0.0315597  -0.03155039 -0.0315484
 -0.03155752 -0.03154369 -0.03152324 -0.03154336 -0.03155589 -0.03152938
 -0.03154933 -0.03154629 -0.0315128  -0.03153545 -0.03151329 -0.03152161
 -0.03156039 -0.03157593 -0.03155099 -0.03156152 -0.03155111 -0.03158726
 -0.03157628 -0.03155839 -0.03154302 -0.03155735 -0.03153938 -0.03157448
 -0.03155859 -0.03158613 -0.03153769 -0.0315355  -0.03153985 -0.03153764
 -0.03159253 -0.03154251 -0.03157447 -0.03153234 -0.03153225 -0.03151759
 -0.03155956 -0.03155077 -0.03154679 -0.03154476 -0.03153841 -0.0315545
 -0.03159081 -0.03156071 -0.03154855 -0.03150633 -0.03153856 -0.03155153
 -0.03154928 -0.03154833 -0.03154649 -0.03154893 -0.03154055 -0.03156814
 -0.03155906 -0.03155779 -0.03155721 -0.03152872 -0.0315534  -0.03156936
 -0.03156344 -0.03156823 -0.03152815 -0.03155183 -0.03156306 -0.03156864
 -0.03154895 -0.03157153 -0.03158132 -0.03155653 -0.03154115 -0.03158647
 -0.03155111 -0.03155771 -0.0315646  -0.03158104 -0.03156926 -0.03161367
 -0.03157912]"
75,3036,3037,Alma 18 27,Alma 18.28,[-0.03157912 -0.03152254]
76,3037,3049,Alma 18 28,Alma 18.40,"[-0.03152254 -0.03156875 -0.03155373 -0.03155689 -0.03152662 -0.03152199
 -0.03156577 -0.03151551 -0.03154982 -0.03157504 -0.03155908 -0.03155762
 -0.03156099]"
77,3049,3050,Alma 18 40,Alma 18.41,[-0.03156099 -0.03158683]
78,3050,3125,Alma 18 41,Alma 21.7,"[-0.03158683 -0.03153274 -0.03154004 -0.03160175 -0.03154148 -0.03153748
 -0.03155645 -0.03155432 -0.03154454 -0.03155613 -0.03155097 -0.03158573
 -0.0315711  -0.03157863 -0.03153669 -0.03157075 -0.03156566 -0.03154606
 -0.03151908 -0.03155931 -0.03153761 -0.03155146 -0.03155857 -0.03154669
 -0.03154125 -0.03153473 -0.03156536 -0.03154466 -0.03157594 -0.03156371
 -0.03157675 -0.03154653 -0.03153669 -0.03152923 -0.0315632  -0.03155955
 -0.03151174 -0.03155161 -0.03154336 -0.03153731 -0.0315739  -0.03155048
 -0.03156714 -0.03159292 -0.03154763 -0.03154729 -0.03159992 -0.03156174
 -0.031581   -0.03155463 -0.03157569 -0.03154664 -0.03153326 -0.03153875
 -0.03154923 -0.03156498 -0.03155794 -0.03155577 -0.03153781 -0.03156529
 -0.03158379 -0.03158908 -0.0315391  -0.03155614 -0.03154548 -0.03156119
 -0.03153886 -0.03157281 -0.0315472  -0.03154304 -0.03156871 -0.03155365
 -0.0315431  -0.0315779  -0.03155584 -0.03155372]"
79,3125,3323,Alma 21 7,Alma 29.2,"[-0.03155372 -0.03150283 -0.03152884 -0.03151222 -0.0315371  -0.03150216
 -0.03153333 -0.03152569 -0.03155168 -0.03154807 -0.03151885 -0.03154847
 -0.03155161 -0.03154842 -0.0315696  -0.0315446  -0.03150779 -0.03154437
 -0.03157065 -0.03156673 -0.03152911 -0.03158361 -0.03157673 -0.03158377
 -0.03154881 -0.03153402 -0.03154543 -0.03152158 -0.03155285 -0.03154408
 -0.03154335 -0.03153909 -0.03155144 -0.03154048 -0.03157821 -0.03153769
 -0.03157171 -0.03156109 -0.03155923 -0.03156029 -0.0315487  -0.03151047
 -0.03154698 -0.03153109 -0.0315424  -0.03154812 -0.03155619 -0.03154853
 -0.03155497 -0.03154522 -0.03154824 -0.03158785 -0.03156881 -0.03155848
 -0.03153929 -0.03155361 -0.0315289  -0.03154557 -0.03152254 -0.03154327
 -0.03155374 -0.03156419 -0.03154954 -0.03145182 -0.0315748  -0.03154504
 -0.03157155 -0.03156665 -0.0314993  -0.0315137  -0.03154109 -0.03153704
 -0.03156956 -0.03153568 -0.03156732 -0.03150605 -0.03154954 -0.03159083
 -0.03156968 -0.03154143 -0.0315553  -0.03155894 -0.0315731  -0.03155913
 -0.0315538  -0.03153814 -0.03155788 -0.03157295 -0.03155707 -0.03155786
 -0.03153517 -0.03152758 -0.03155406 -0.03154871 -0.03152789 -0.03154167
 -0.03156925 -0.03156598 -0.03156903 -0.03152334 -0.03152821 -0.03153966
 -0.03153561 -0.03152499 -0.03156058 -0.03151015 -0.03153894 -0.03153593
 -0.03154185 -0.03158749 -0.03155772 -0.03155346 -0.03152824 -0.03153628
 -0.03154081 -0.03157576 -0.03159904 -0.03157112 -0.03156551 -0.03154226
 -0.03155264 -0.03153521 -0.03152257 -0.03155469 -0.03152562 -0.03153636
 -0.03154708 -0.0315646  -0.03157924 -0.03153309 -0.03156689 -0.03156908
 -0.03156481 -0.03150108 -0.03157448 -0.03156042 -0.03158333 -0.03154307
